Location,Depth,DOY,REP,Species_Code,Species_Name,Cell_Density_L,Biomass_mg_m3,Length_um,Width_um,Cell_Volume_um3,Group,Description_Code,Phylum,Family,Genus,Species,name_code
Buffalo Pound,0.8,198,REP2,P4351,Small chrysophyceae,86208,1.34,3.1,3.1,15.6,Chrysophyte,PHYT,Chrysophyta,.,Small chrysophyceae,.,Sma..
Buffalo Pound,0.8,198,REP2,P5540,Aulacoseira italica v subarctica (O. Muller) Simonsen,200,2.05,300,6.6,10263.6,Diatom,PHYT,Chrysophyta,Melosiroideae,Aulacoseira,italica,Aul.ita
Buffalo Pound,0.8,198,REP2,P6554,Rhodomonas minuta Skuja,7184,0.6,9.6,5,83.8,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Rhodomonas,minuta,Rho.min
Buffalo Pound,0.8,198,REP2,P6565,Cryptomonas rostratiformis Skuja,200,0.6,44,14,3010.3,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Cryptomonas,rostratiformis,Cry.ros
Buffalo Pound,0.8,210,REP1,P1041,Aphanizomenon flos-aquae Ralfs and Born.,1139000,4580.15,320,4,4021.2,Cyanophyte,PHYT,Cyanophyta,Nostocaceae,Aphanizomenon,flos-aquae,Aph.flo
Buffalo Pound,0.8,210,REP1,P1075,Microcystis aeruginosa (Kutzing) Kutzing,196000,499.8,0,0,2550,Cyanophyte,PHYT,Cyanophyta,Microcystaceae,Microcystis,aeruginosa,Mic.aer
Buffalo Pound,0.8,210,REP1,P1076,Woronichinia compacta (Lemmermann) Komarek and Hindak,11000,8.25,0,0,750,Cyanophyte,PHYT,Cyanophyta,Microcystaceae,Woronichinia,compacta,Wor.com
Buffalo Pound,0.8,210,REP1,P1132,Anabaena crassa (Lemm.) Kom-Legn. & Crongerg,29000,303.69,200,10,10472,Cyanophyte,PHYT,Cyanophyta,Nostocaceae,Anabaena,crassa,Ana.cra
Buffalo Pound,0.8,210,REP1,P1133,Anabaena flos-aquae (Lyngb.) Breb. & Bornet,164000,1363.28,400,6.3,8312.7,Cyanophyte,PHYT,Cyanophyta,Nostocaceae,Anabaena,flos-aquae,Ana.flo
Buffalo Pound,0.8,210,REP1,P2109,Volvox aureus  Ehrenberg,2000,5.36,0,0,2680,Chlorophyte,PHYT,Chlorophyta,Volvocaceae,Volvox,aureus,Vol.aur
Buffalo Pound,0.8,210,REP1,P2113,Pediastrum duplex Meyen,4000,8.4,0,0,2100,Chlorophyte,PHYT,Chlorophyta,Hydrodictyaceae,Pediastrum,duplex,Ped.dup
Buffalo Pound,0.8,210,REP1,P2121,Oocystis lacustris Chodat,634928,31.94,6,4,50.3,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Oocystis,lacustris,Ooc.lac
Buffalo Pound,0.8,210,REP1,P2132,Scenedesmus denticulatus Lagerhiem,158732,7.1,8,4,44.7,Chlorophyte,PHYT,Chlorophyta,Scenedesmaceae,Scenedesmus,denticulatus,Sce.den
Buffalo Pound,0.8,210,REP1,P2136,Dictyosphaerium pulchellum Wood,277781,31.42,6,6,113.1,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Dictyosphaerium,pulchellum,Dic.pul
Buffalo Pound,0.8,210,REP1,P2178,Cosmarium sp.,2000,2.79,20,20,1396.3,Chlorophyte,PHYT,Chlorophyta,Desmidiaceae,Cosmarium,sp.,Cos.sp.
Buffalo Pound,0.8,210,REP1,P2204,Ankyra judayi (G.M. Smith) Fott,39683,2.1,14,3.1,52.8,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Ankrya,judai,Ank.jud
Buffalo Pound,0.8,210,REP1,P4351,Small chrysophyceae,317464,4.48,3,3,14.1,Chrysophyte,PHYT,Chrysophyta,.,Small chrysophyceae,.,Sma..
Buffalo Pound,0.8,210,REP1,P4355,Chrysochromulina parva Lackey,3888934,254.34,5,5,65.4,Chrysophyte,PHYT,Chrysophyta,Prymnesiaceae,Chrysochromulina,parva,Chr.par
Buffalo Pound,0.8,210,REP1,P4358,Chrysostephanosphaera globulifera Scherffel,39683,14.16,8.8,8.8,356.8,Chrysophyte,PHYT,Chrysophyta,Rhizochrysidaceae,Chrysostephanospaera,globulifera,Chr.glo
Buffalo Pound,0.8,210,REP1,P4400,Ochromonas sp.,39683,2.66,8,4,67,Chrysophyte,PHYT,Chrysophyta,Ochromonadaceae,Ochromonas,sp.,Och.sp.
Buffalo Pound,0.8,210,REP1,P4401,Uroglena volvox Ehrenberg,39683,4.49,6,6,113.1,Chrysophyte,PHYT,Chrysophyta,Ochromonadaceae,Uroglena,volvox,Uro.vol
Buffalo Pound,0.8,210,REP1,P4418,Salpingoeca frequentissima (Zach.) Lemmermann,714294,35.93,6,4,50.3,Chrysophyte,PHYT,Chrysophyta,Craspedomonadaceae,Salpingoeca,frequentissima,Sal.fre
Buffalo Pound,0.8,210,REP1,P5509,Cyclotella ocellata Pant.,119049,11.96,4,8,100.5,Diatom,PHYT,Chrysophyta,Coscinodiscoideae,Cyclotella,ocellata,Cyc.oce
Buffalo Pound,0.8,210,REP1,P5515,Fragilaria crotonensis Kitton,52000,24.18,111,4,465,Diatom,PHYT,Chrysophyta,Fragilarioideae,Fragilaria,crotonensis,Fra.cro
Buffalo Pound,0.8,210,REP1,P5540,Aulacoseira italica v subarctica (O. Muller) Simonsen,4000,55.25,330,7.3,13811.8,Diatom,PHYT,Chrysophyta,Melosiroideae,Aulacoseira,italica,Aul.ita
Buffalo Pound,0.8,210,REP1,P5551,Cyclotella michiganiana Skvortzow,238098,5.83,2.5,5,24.5,Diatom,PHYT,Chrysophyta,Coscinodiscoideae,Cyclotella,michiganiana,Cyc.mic
Buffalo Pound,0.8,210,REP1,P5916,Fragilaria capucina Grunow,96000,25.33,63,4,263.9,Diatom,PHYT,Chrysophyta,Fragilarioideae,Fragilaria,capucina,Fra.cap
Buffalo Pound,0.8,210,REP1,P6554,Rhodomonas minuta Skuja,674611,58.83,9.6,5.1,87.2,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Rhodomonas,minuta,Rho.min
Buffalo Pound,0.8,210,REP1,P6558,Cryptomonas erosa Ehrenberg,22000,29.75,26.9,12,1352.1,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Cryptomonas,erosa,Cry.ero
Buffalo Pound,0.8,210,REP1,P6565,Cryptomonas rostratiformis Skuja,4000,10.95,40,14,2736.7,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Cryptomonas,rostratiformis,Cry.ros
Buffalo Pound,0.8,210,REP1,P6568,Katablepharis ovalis Skuja,1388905,54.58,7.5,4,39.3,Cryptophyte,PHYT,Pyrrhophyta,Katablepharidaceae,Katablepharis,ovalis,Kat.ova
Buffalo Pound,0.8,210,REP1,P7644,Ceratium hirundinella (Muller) Schrank,41000,2060.89,60,40,50265.5,Dinoflagellate,PHYT,Pyrrhophyta,Ceratiaceae,Ceratium,hirundenella,Cer.hir
Buffalo Pound,0.8,219,REP2,P1041,Aphanizomenon flos-aquae Ralfs and Born.,787000,3164.68,320,4,4021.2,Cyanophyte,PHYT,Cyanophyta,Nostocaceae,Aphanizomenon,flos-aquae,Aph.flo
Buffalo Pound,0.8,219,REP2,P1075,Microcystis aeruginosa (Kutzing) Kutzing,449000,942.9,0,0,2100,Cyanophyte,PHYT,Cyanophyta,Microcystaceae,Microcystis,aeruginosa,Mic.aer
Buffalo Pound,0.8,219,REP2,P1132,Anabaena crassa (Lemm.) Kom-Legn. & Crongerg,360000,6625.98,325,10.4,18405.5,Cyanophyte,PHYT,Cyanophyta,Nostocaceae,Anabaena,crassa,Ana.cra
Buffalo Pound,0.8,219,REP2,P1133,Anabaena flos-aquae (Lyngb.) Breb. & Bornet,787000,5223,300,6.5,6636.6,Cyanophyte,PHYT,Cyanophyta,Nostocaceae,Anabaena,flos-aquae,Ana.flo
Buffalo Pound,0.8,219,REP2,P2105,Chlamydomonas spp.,198415,8.81,5.3,4,44.4,Chlorophyte,PHYT,Chlorophyta,Chlamydomonadaceae,Chlamydomonas,spp.,Chl.spp
Buffalo Pound,0.8,219,REP2,P2113,Pediastrum duplex Meyen,10000,19.65,0,0,1965,Chlorophyte,PHYT,Chlorophyta,Hydrodictyaceae,Pediastrum,duplex,Ped.dup
Buffalo Pound,0.8,219,REP2,P2121,Oocystis lacustris Chodat,912709,45.91,6,4,50.3,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Oocystis,lacustris,Ooc.lac
Buffalo Pound,0.8,219,REP2,P2130,Scenedesmus quadricauda (Turp.) Brebisson,753977,21.79,7.6,3.3,28.9,Chlorophyte,PHYT,Chlorophyta,Scenedesmaceae,Scenedesmus,quadricauda,Sce.qua
Buffalo Pound,0.8,219,REP2,P2132,Scenedesmus denticulatus Lagerhiem,1984150,88.69,8,4,44.7,Chlorophyte,PHYT,Chlorophyta,Scenedesmaceae,Scenedesmus,denticulatus,Sce.den
Buffalo Pound,0.8,219,REP2,P2136,Dictyosphaerium pulchellum Wood,238098,26.93,6,6,113.1,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Dictyosphaerium,pulchellum,Dic.pul
Buffalo Pound,0.8,219,REP2,P2171,Closterium kuetzingii Brebisson,2000,10,199,8,5001.4,Chlorophyte,PHYT,Chlorophyta,Closteriaceae,Closterium,kuetzingii,Clo.kue
Buffalo Pound,0.8,219,REP2,P2178,Cosmarium sp.,1000,1.4,20,20,1396.3,Chlorophyte,PHYT,Chlorophyta,Desmidiaceae,Cosmarium,sp.,Cos.sp.
Buffalo Pound,0.8,219,REP2,P2193,Staurodesmus paradoxum Meyen,1000,1.63,21.6,20,1628.6,Chlorophyte,PHYT,Chlorophyta,Desmidiaceae,Staurodesmus,paradoxum,Sta.par
Buffalo Pound,0.8,219,REP2,P2204,Ankyra judayi (G.M. Smith) Fott,39683,2.4,16,3.1,60.4,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Ankrya,judai,Ank.jud
Buffalo Pound,0.8,219,REP2,P2255,Selenastrum copricornutum Printz,833343,9.08,7.2,1.7,10.9,Chlorophyte,PHYT,Chlorophyta,Selenastraceae,Selenastrum,copricornutum,Sel.cop
Buffalo Pound,0.8,219,REP2,P4351,Small chrysophyceae,1984150,25.4,2.9,2.9,12.8,Chrysophyte,PHYT,Chrysophyta,.,Small chrysophyceae,.,Sma..
Buffalo Pound,0.8,219,REP2,P4352,Large chrysophyceae,39683,7.13,7,7,179.6,Chrysophyte,PHYT,Chrysophyta,.,Large chrysophyceae,.,Lar..
Buffalo Pound,0.8,219,REP2,P4355,Chrysochromulina parva Lackey,3015908,197.24,5,5,65.4,Chrysophyte,PHYT,Chrysophyta,Prymnesiaceae,Chrysochromulina,parva,Chr.par
Buffalo Pound,0.8,219,REP2,P4401,Uroglena volvox Ehrenberg,555562,62.83,6,6,113.1,Chrysophyte,PHYT,Chrysophyta,Ochromonadaceae,Uroglena,volvox,Uro.vol
Buffalo Pound,0.8,219,REP2,P4418,Salpingoeca frequentissima (Zach.) Lemmermann,634928,21.71,6,3.3,34.2,Chrysophyte,PHYT,Chrysophyta,Craspedomonadaceae,Salpingoeca,frequentissima,Sal.fre
Buffalo Pound,0.8,219,REP2,P5508,Cyclotella pseudostelligera,119049,51.36,6.5,13,431.4,Diatom,PHYT,Chrysophyta,Coscinodiscoideae,Cyclotella,psuedostelligera,Cyc.psu
Buffalo Pound,0.8,219,REP2,P5509,Cyclotella ocellata Pant.,714294,64,3.85,7.7,89.6,Diatom,PHYT,Chrysophyta,Coscinodiscoideae,Cyclotella,ocellata,Cyc.oce
Buffalo Pound,0.8,219,REP2,P5515,Fragilaria crotonensis Kitton,444000,191.54,103,4,431.4,Diatom,PHYT,Chrysophyta,Fragilarioideae,Fragilaria,crotonensis,Fra.cro
Buffalo Pound,0.8,219,REP2,P5530,Stephanodiscus niagarae Ehrenberg,1000,26.05,25.5,51,26046,Diatom,PHYT,Chrysophyta,Coscinodiscoideae,Stephanodiscus,niagarae,Ste.nia
Buffalo Pound,0.8,219,REP2,P5540,Aulacoseira italica v subarctica (O. Muller) Simonsen,1000,10.26,300,6.6,10263.6,Diatom,PHYT,Chrysophyta,Melosiroideae,Aulacoseira,italica,Aul.ita
Buffalo Pound,0.8,219,REP2,P5551,Cyclotella michiganiana Skvortzow,436513,10.69,2.5,5,24.5,Diatom,PHYT,Chrysophyta,Coscinodiscoideae,Cyclotella,michiganiana,Cyc.mic
Buffalo Pound,0.8,219,REP2,P6554,Rhodomonas minuta Skuja,357147,19.79,9,4.2,55.4,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Rhodomonas,minuta,Rho.min
Buffalo Pound,0.8,219,REP2,P6558,Cryptomonas erosa Ehrenberg,2000,2.81,28,12,1407.4,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Cryptomonas,erosa,Cry.ero
Buffalo Pound,0.8,219,REP2,P6568,Katablepharis ovalis Skuja,1071441,55.29,8.6,4,51.6,Cryptophyte,PHYT,Pyrrhophyta,Katablepharidaceae,Katablepharis,ovalis,Kat.ova
Buffalo Pound,0.8,219,REP2,P7644,Ceratium hirundinella (Muller) Schrank,20000,1005.31,60,40,50265.5,Dinoflagellate,PHYT,Pyrrhophyta,Ceratiaceae,Ceratium,hirundenella,Cer.hir
Buffalo Pound,0.8,227,REP1,P1026,Merismopedia tenuissima Lemmermann,396830,3.97,0,0,10,Cyanophyte,PHYT,Cyanophyta,Microcystaceae,Merismopedia,tenuissima,Mer.ten
Buffalo Pound,0.8,227,REP1,P1033,Rhabdogloea linearis Schmidle and Lauterborn,2857176,65.72,11,2,23,Cyanophyte,PHYT,Cyanophyta,Microcystaceae,Rhabdogloea,lineare,Rha.lin
Buffalo Pound,0.8,227,REP1,P1041,Aphanizomenon flos-aquae Ralfs and Born.,382000,1536.1,320,4,4021.2,Cyanophyte,PHYT,Cyanophyta,Nostocaceae,Aphanizomenon,flos-aquae,Aph.flo
Buffalo Pound,0.8,227,REP1,P1075,Microcystis aeruginosa (Kutzing) Kutzing,49000,171.5,0,0,3500,Cyanophyte,PHYT,Cyanophyta,Microcystaceae,Microcystis,aeruginosa,Mic.aer
Buffalo Pound,0.8,227,REP1,P1076,Woronichinia compacta (Lemmermann) Komarek and Hindak,37000,27.75,0,0,750,Cyanophyte,PHYT,Cyanophyta,Microcystaceae,Woronichinia,compacta,Wor.com
Buffalo Pound,0.8,227,REP1,P1078,Planktothrix agardhii (Gom.) Anagnostidis and Komarek,45000,631.08,496,6,14024.1,Cyanophyte,PHYT,Cyanophyta,Oscillatotiaceae,Planktothrix,agardhii,Pla.aga
Buffalo Pound,0.8,227,REP1,P1132,Anabaena crassa (Lemm.) Kom-Legn. & Crongerg,157000,2507.26,305,10,15969.8,Cyanophyte,PHYT,Cyanophyta,Nostocaceae,Anabaena,crassa,Ana.cra
Buffalo Pound,0.8,227,REP1,P1133,Anabaena flos-aquae (Lyngb.) Breb. & Bornet,158000,902.95,275,6.3,5714.9,Cyanophyte,PHYT,Cyanophyta,Nostocaceae,Anabaena,flos-aquae,Ana.flo
Buffalo Pound,0.8,227,REP1,P2113,Pediastrum duplex Meyen,3000,9.3,0,0,3100,Chlorophyte,PHYT,Chlorophyta,Hydrodictyaceae,Pediastrum,duplex,Ped.dup
Buffalo Pound,0.8,227,REP1,P2121,Oocystis lacustris Chodat,1269856,63.87,6,4,50.3,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Oocystis,lacustris,Ooc.lac
Buffalo Pound,0.8,227,REP1,P2130,Scenedesmus quadricauda (Turp.) Brebisson,20000,0.68,8,3.5,34.2,Chlorophyte,PHYT,Chlorophyta,Scenedesmaceae,Scenedesmus,quadricauda,Sce.qua
Buffalo Pound,0.8,227,REP1,P2136,Dictyosphaerium pulchellum Wood,1309539,148.11,6,6,113.1,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Dictyosphaerium,pulchellum,Dic.pul
Buffalo Pound,0.8,227,REP1,P2178,Cosmarium sp.,1000,1.4,20,20,1396.3,Chlorophyte,PHYT,Chlorophyta,Desmidiaceae,Cosmarium,sp.,Cos.sp.
Buffalo Pound,0.8,227,REP1,P2193,Staurodesmus paradoxum Meyen,1000,1.75,23,19,1754.2,Chlorophyte,PHYT,Chlorophyta,Desmidiaceae,Staurodesmus,paradoxum,Sta.par
Buffalo Pound,0.8,227,REP1,P2235,Ankistrodesmus spiralis Lemmermann,317464,13.97,28,2,44,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Ankistrodesmus,spiralis,Ank.spi
Buffalo Pound,0.8,227,REP1,P2255,Selenastrum copricornutum Printz,1587320,17.46,7.3,1.7,11,Chlorophyte,PHYT,Chlorophyta,Selenastraceae,Selenastrum,copricornutum,Sel.cop
Buffalo Pound,0.8,227,REP1,P4351,Small chrysophyceae,833343,11.75,3,3,14.1,Chrysophyte,PHYT,Chrysophyta,.,Small chrysophyceae,.,Sma..
Buffalo Pound,0.8,227,REP1,P4352,Large chrysophyceae,119049,21.38,7,7,179.6,Chrysophyte,PHYT,Chrysophyta,.,Large chrysophyceae,.,Lar..
Buffalo Pound,0.8,227,REP1,P4355,Chrysochromulina parva Lackey,992075,64.88,5,5,65.4,Chrysophyte,PHYT,Chrysophyta,Prymnesiaceae,Chrysochromulina,parva,Chr.par
Buffalo Pound,0.8,227,REP1,P4418,Salpingoeca frequentissima (Zach.) Lemmermann,238098,5.83,5.2,3,24.5,Chrysophyte,PHYT,Chrysophyta,Craspedomonadaceae,Salpingoeca,frequentissima,Sal.fre
Buffalo Pound,0.8,227,REP1,P5508,Cyclotella pseudostelligera,119049,78.89,7.5,15,662.7,Diatom,PHYT,Chrysophyta,Coscinodiscoideae,Cyclotella,psuedostelligera,Cyc.psu
Buffalo Pound,0.8,227,REP1,P5509,Cyclotella ocellata Pant.,1468271,153.14,4.05,8.1,104.3,Diatom,PHYT,Chrysophyta,Coscinodiscoideae,Cyclotella,ocellata,Cyc.oce
Buffalo Pound,0.8,227,REP1,P5515,Fragilaria crotonensis Kitton,54000,22.85,101,4,423.1,Diatom,PHYT,Chrysophyta,Fragilarioideae,Fragilaria,crotonensis,Fra.cro
Buffalo Pound,0.8,227,REP1,P5540,Aulacoseira italica v subarctica (O. Muller) Simonsen,3000,52.26,440,7.1,17420.4,Diatom,PHYT,Chrysophyta,Melosiroideae,Aulacoseira,italica,Aul.ita
Buffalo Pound,0.8,227,REP1,P5551,Cyclotella michiganiana Skvortzow,1309539,32.08,2.5,5,24.5,Diatom,PHYT,Chrysophyta,Coscinodiscoideae,Cyclotella,michiganiana,Cyc.mic
Buffalo Pound,0.8,227,REP1,P6554,Rhodomonas minuta Skuja,634928,39.87,9.3,4.4,62.8,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Rhodomonas,minuta,Rho.min
Buffalo Pound,0.8,227,REP1,P6558,Cryptomonas erosa Ehrenberg,12000,15.08,25,12,1256.6,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Cryptomonas,erosa,Cry.ero
Buffalo Pound,0.8,227,REP1,P6568,Katablepharis ovalis Skuja,595245,27.26,8.1,4,45.8,Cryptophyte,PHYT,Pyrrhophyta,Katablepharidaceae,Katablepharis,ovalis,Kat.ova
Buffalo Pound,0.8,227,REP1,P7644,Ceratium hirundinella (Muller) Schrank,15000,703.72,56,40,46914.5,Dinoflagellate,PHYT,Pyrrhophyta,Ceratiaceae,Ceratium,hirundenella,Cer.hir
Buffalo Pound,0.8,233,REP2,P1033,Rhabdogloea linearis Schmidle and Lauterborn,1587320,33.17,10,2,20.9,Cyanophyte,PHYT,Cyanophyta,Microcystaceae,Rhabdogloea,lineare,Rha.lin
Buffalo Pound,0.8,233,REP2,P1041,Aphanizomenon flos-aquae Ralfs and Born.,247000,620.79,200,4,2513.3,Cyanophyte,PHYT,Cyanophyta,Nostocaceae,Aphanizomenon,flos-aquae,Aph.flo
Buffalo Pound,0.8,233,REP2,P1075,Microcystis aeruginosa (Kutzing) Kutzing,13000,32.5,0,0,2500,Cyanophyte,PHYT,Cyanophyta,Microcystaceae,Microcystis,aeruginosa,Mic.aer
Buffalo Pound,0.8,233,REP2,P1078,Planktothrix agardhii (Gom.) Anagnostidis and Komarek,20000,282.74,500,6,14137.2,Cyanophyte,PHYT,Cyanophyta,Oscillatotiaceae,Planktothrix,agardhii,Pla.aga
Buffalo Pound,0.8,233,REP2,P1132,Anabaena crassa (Lemm.) Kom-Legn. & Crongerg,202000,2200.79,200,10.2,10895,Cyanophyte,PHYT,Cyanophyta,Nostocaceae,Anabaena,crassa,Ana.cra
Buffalo Pound,0.8,233,REP2,P1133,Anabaena flos-aquae (Lyngb.) Breb. & Bornet,360000,1449.14,200,6.2,4025.4,Cyanophyte,PHYT,Cyanophyta,Nostocaceae,Anabaena,flos-aquae,Ana.flo
Buffalo Pound,0.8,233,REP2,P2113,Pediastrum duplex Meyen,9000,17.69,0,0,1965,Chlorophyte,PHYT,Chlorophyta,Hydrodictyaceae,Pediastrum,duplex,Ped.dup
Buffalo Pound,0.8,233,REP2,P2121,Oocystis lacustris Chodat,1190490,59.88,6,4,50.3,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Oocystis,lacustris,Ooc.lac
Buffalo Pound,0.8,233,REP2,P2130,Scenedesmus quadricauda (Turp.) Brebisson,1627003,58.9,8,3.6,36.2,Chlorophyte,PHYT,Chlorophyta,Scenedesmaceae,Scenedesmus,quadricauda,Sce.qua
Buffalo Pound,0.8,233,REP2,P2178,Cosmarium sp.,1000,1.4,20,20,1396.3,Chlorophyte,PHYT,Chlorophyta,Desmidiaceae,Cosmarium,sp.,Cos.sp.
Buffalo Pound,0.8,233,REP2,P2204,Ankyra judayi (G.M. Smith) Fott,238098,11.69,13,3.1,49.1,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Ankrya,judai,Ank.jud
Buffalo Pound,0.8,233,REP2,P2235,Ankistrodesmus spiralis Lemmermann,198415,9.05,29,2,45.6,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Ankistrodesmus,spiralis,Ank.spi
Buffalo Pound,0.8,233,REP2,P2255,Selenastrum copricornutum Printz,2579395,28.12,7.2,1.7,10.9,Chlorophyte,PHYT,Chlorophyta,Selenastraceae,Selenastrum,copricornutum,Sel.cop
Buffalo Pound,0.8,233,REP2,P4351,Small chrysophyceae,1190490,10.95,2.6,2.6,9.2,Chrysophyte,PHYT,Chrysophyta,.,Small chrysophyceae,.,Sma..
Buffalo Pound,0.8,233,REP2,P4352,Large chrysophyceae,198415,35.64,7,7,179.6,Chrysophyte,PHYT,Chrysophyta,.,Large chrysophyceae,.,Lar..
Buffalo Pound,0.8,233,REP2,P4355,Chrysochromulina parva Lackey,1507954,98.62,5,5,65.4,Chrysophyte,PHYT,Chrysophyta,Prymnesiaceae,Chrysochromulina,parva,Chr.par
Buffalo Pound,0.8,233,REP2,P4358,Chrysostephanosphaera globulifera Scherffel,39683,11.88,8.3,8.3,299.4,Chrysophyte,PHYT,Chrysophyta,Rhizochrysidaceae,Chrysostephanospaera,globulifera,Chr.glo
Buffalo Pound,0.8,233,REP2,P4378,Dinobryon borgei Lemmermann,39683,2.04,9,3.3,51.3,Chrysophyte,PHYT,Chrysophyta,Dinobryoaceae,Dinobryon,borgei,Din.bor
Buffalo Pound,0.8,233,REP2,P4418,Salpingoeca frequentissima (Zach.) Lemmermann,476196,16.29,6,3.3,34.2,Chrysophyte,PHYT,Chrysophyta,Craspedomonadaceae,Salpingoeca,frequentissima,Sal.fre
Buffalo Pound,0.8,233,REP2,P5508,Cyclotella pseudostelligera,634928,420.77,7.5,15,662.7,Diatom,PHYT,Chrysophyta,Coscinodiscoideae,Cyclotella,psuedostelligera,Cyc.psu
Buffalo Pound,0.8,233,REP2,P5509,Cyclotella ocellata Pant.,4484179,641.69,4.5,9,143.1,Diatom,PHYT,Chrysophyta,Coscinodiscoideae,Cyclotella,ocellata,Cyc.oce
Buffalo Pound,0.8,233,REP2,P5515,Fragilaria crotonensis Kitton,36000,15.08,100,4,418.9,Diatom,PHYT,Chrysophyta,Fragilarioideae,Fragilaria,crotonensis,Fra.cro
Buffalo Pound,0.8,233,REP2,P5540,Aulacoseira italica v subarctica (O. Muller) Simonsen,26000,237.5,267,6.6,9134.6,Diatom,PHYT,Chrysophyta,Melosiroideae,Aulacoseira,italica,Aul.ita
Buffalo Pound,0.8,233,REP2,P5551,Cyclotella michiganiana Skvortzow,1507954,28.8,2.3,4.6,19.1,Diatom,PHYT,Chrysophyta,Coscinodiscoideae,Cyclotella,michiganiana,Cyc.mic
Buffalo Pound,0.8,233,REP2,P6554,Rhodomonas minuta Skuja,1071441,89.79,9.6,5,83.8,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Rhodomonas,minuta,Rho.min
Buffalo Pound,0.8,233,REP2,P6558,Cryptomonas erosa Ehrenberg,28000,38.84,27.6,12,1387.3,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Cryptomonas,erosa,Cry.ero
Buffalo Pound,0.8,233,REP2,P6565,Cryptomonas rostratiformis Skuja,1000,2.74,40,14,2736.7,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Cryptomonas,rostratiformis,Cry.ros
Buffalo Pound,0.8,233,REP2,P6568,Katablepharis ovalis Skuja,1230173,50.93,7.7,4,41.4,Cryptophyte,PHYT,Pyrrhophyta,Katablepharidaceae,Katablepharis,ovalis,Kat.ova
Buffalo Pound,0.8,233,REP2,P7644,Ceratium hirundinella (Muller) Schrank,180000,9047.79,60,40,50265.5,Dinoflagellate,PHYT,Pyrrhophyta,Ceratiaceae,Ceratium,hirundenella,Cer.hir
Buffalo Pound,0.8,242,REP1,P1026,Merismopedia tenuissima Lemmermann,6150865,61.51,0,0,10,Cyanophyte,PHYT,Cyanophyta,Microcystaceae,Merismopedia,tenuissima,Mer.ten
Buffalo Pound,0.8,242,REP1,P1033,Rhabdogloea linearis Schmidle and Lauterborn,1031758,21.56,10,2,20.9,Cyanophyte,PHYT,Cyanophyta,Microcystaceae,Rhabdogloea,lineare,Rha.lin
Buffalo Pound,0.8,242,REP1,P1041,Aphanizomenon flos-aquae Ralfs and Born.,49000,153.94,250,4,3141.6,Cyanophyte,PHYT,Cyanophyta,Nostocaceae,Aphanizomenon,flos-aquae,Aph.flo
Buffalo Pound,0.8,242,REP1,P1076,Woronichinia compacta (Lemmermann) Komarek and Hindak,65000,35.75,0,0,550,Cyanophyte,PHYT,Cyanophyta,Microcystaceae,Woronichinia,compacta,Wor.com
Buffalo Pound,0.8,242,REP1,P1078,Planktothrix agardhii (Gom.) Anagnostidis and Komarek,69000,501.88,525,4.2,7273.6,Cyanophyte,PHYT,Cyanophyta,Oscillatotiaceae,Planktothrix,agardhii,Pla.aga
Buffalo Pound,0.8,242,REP1,P1132,Anabaena crassa (Lemm.) Kom-Legn. & Crongerg,81000,467.73,106,10.2,5774.4,Cyanophyte,PHYT,Cyanophyta,Nostocaceae,Anabaena,crassa,Ana.cra
Buffalo Pound,0.8,242,REP1,P1133,Anabaena flos-aquae (Lyngb.) Breb. & Bornet,81000,222.52,141,6.1,2747.1,Cyanophyte,PHYT,Cyanophyta,Nostocaceae,Anabaena,flos-aquae,Ana.flo
Buffalo Pound,0.8,242,REP1,P2113,Pediastrum duplex Meyen,33000,50.33,0,0,1525,Chlorophyte,PHYT,Chlorophyta,Hydrodictyaceae,Pediastrum,duplex,Ped.dup
Buffalo Pound,0.8,242,REP1,P2136,Dictyosphaerium pulchellum Wood,5952450,303.57,4.6,4.6,51,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Dictyosphaerium,pulchellum,Dic.pul
